Date,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ghost-trick-spoilers,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/va11-hall-of-spoilers,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/zero-escape-spoiler-chan,dragons-den/9-rows-9-columns-9-boxes,dragons-den/AI-Somnium-Files-2-spoiler-den,dragons-den/baldurs-gate-3-goty-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,dragons-den/evolve-idol,dragons-den/game-jam-dvd,dragons-den/GoW-Raggyrock-spoiler-Den,dragons-den/Guilty-Gear-Den,dragons-den/Jenshin-Den,dragons-den/roguelike-den,Important/announcements,Important/stream-announcements,MAIN/cringe-cafe,MAIN/dragons-den,MAIN/general,MAIN/mental-health,MAIN/share-stuff-you-made,Stream Stuff/jadseya-awards-2023,Stream Stuff/stream-art-museum
2023-07-09 00:00:00+00:00,0,0,0,0,0,3432,11343,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,8981,626,0,1076,2352,90206,472,196,827,0,868
2023-07-16 00:00:00+00:00,0,0,0,0,0,0,763,0,0,0,6757,0,0,0,0,0,0,0,0,1519,0,0,0,18826,119,0,844,1528,96531,563,206,603,0,1674
2023-07-23 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,2439,0,0,6223,0,0,0,0,0,1554,0,0,0,15363,101,0,773,2532,108409,431,284,405,0,2062
2023-07-30 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,68156,0,8,0,0,0,1275,0,0,0,13090,131,0,1315,1408,93081,281,175,826,0,2106
2023-08-06 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,68429,0,62,0,0,0,2206,376,0,0,12954,108,0,1169,2123,91539,359,197,826,0,1096
2023-08-13 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,22886,0,128,0,0,0,2012,106,0,0,16461,254,0,258,2417,72889,403,439,625,0,837
2023-08-20 00:00:00+00:00,0,612,0,0,0,0,0,14753,0,0,0,0,0,2573,0,113,0,0,0,1527,29,0,0,9851,118,0,1106,2971,85840,680,171,604,0,1466
2023-08-27 00:00:00+00:00,0,6724,0,0,0,0,0,0,0,0,0,3783,0,0,0,3,0,0,0,1121,301,0,0,16210,6,0,545,2325,72780,310,183,716,0,1696
2023-09-03 00:00:00+00:00,0,654,0,0,0,0,0,0,0,0,0,6720,0,0,0,107,0,0,0,1185,2367,0,0,15966,15,0,1310,2039,77120,409,110,734,0,2104
2023-09-10 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,2,0,0,0,1277,1745,0,0,15965,50,0,573,1286,82264,453,253,647,0,1530
2023-09-17 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,65,0,0,0,1127,187,0,0,22933,68,0,894,1997,75427,452,319,553,0,1484
2023-09-24 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,35,0,0,0,1189,0,0,0,22128,34,0,698,863,71631,442,147,429,0,476
2023-10-01 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,928,0,0,0,21759,27,0,0,1487,68446,583,98,458,0,333
